Reporter REF	Unknown:VALUE	Unknown:VALUE	Unknown:VALUE	Unknown:VALUE	Unknown:VALUE	Unknown:VALUE
A_23_P100868	-0.129986	0.03925154544	0.127157	0.1504386311	0.0772605	0.2847674204
A_23_P100872	0.510839	0.1089851121	0.579119	0.02932459765	-0.320869	-0.2511639145
A_23_P100883	0.0941641	-0.1173147621	0.148279	-0.1439897954	-0.0923459	-0.3523528248
A_23_P10091	-0.55897	0.1907777146	0.16193	0.1044205631	0.130353	0.02493080186
A_23_P100912	-0.135151	-0.3257440069	0.0703353	0.1394308866	0.475563	-0.0458261232
A_23_P100931	0.266666	0.03358717113	0.285891	-1.101492592	-0.409129	-1.328717928
A_23_P100935	0.242072	0.008795208938	0.33018	-1.166245662	-0.396416	-1.405087749
A_23_P100959	0.323609	-0.04762655633	0.275363	-0.1504172201	-0.0821642	-0.04315981217
A_23_P100963	-0.0596839	-0.1299721742	-0.316719	-0.006148141917	0.116696	-0.2253052042
A_23_P100990	-0.0232769	-0.3472667118	0.204109	-0.08789102135	-0.246681	0.03795147796
A_23_P100991	0	0	-0.119883	-0.02915323036	-0.124357	0
A_23_P101007	-0.0121938	0.1218216331	-0.0635484	0.09239414003	-0.106063	0.1078289747
A_23_P101013	-0.517666	0.160943288	-0.452306	0.362262275	0.399112	0.4057678469
A_23_P101025	-0.201003	-0.1137442181	0.0833582	0.1154543277	-0.238562	0.05208704162
A_23_P101038	0.0394015	-0.1839493766	-0.108898	0.01245122114	-0.0623258	0.04383359312
A_23_P101048	0.0393813	-0.1049356207	-0.0192612	0.03734412907	-0.283228	0.03726559381
A_23_P101054	0.0736401	-0.03567977227	-0.0291584	-0.02642196336	-0.341313	0.03117723671
A_23_P101073	-0.33962	0.1229200456	-0.193042	0.02486740088	0.619635	0.1000574811
A_23_P101084	-0.0943105	-0.0813625013	-0.228579	-0.03932159714	0.016714	-0.03201151367
A_23_P101093	-0.449453	0.2835047113	-0.344164	0.5983867383	0.476511	0.5733078448
A_23_P101111	0.0985969	-0.001571818572	0.0882157	0.108666134	0.091582	-0.04174534015
A_23_P101121	-0.0302624	0.02663539216	-0.217976	0.009091558626	0.229591	0.1437762281
A_23_P101131	0.0274422	0.001265794092	-0.051903	-0.06554316101	0.0253389	0.1110396452
A_23_P101141	-0.0817717	0.01291323562	-0.026714	-0.05168965466	-0.164243	-0.0003455234409
A_23_P101185	0.051571	-0.03225559452	-0.0447689	-0.0968766107	0.186805	-0.06301526456
A_23_P101193	0.256748	-0.3461524374	0.50465	-0.3949598667	-0.182577	-0.8893081554
A_23_P101208	-0.276915	0.1518079265	-0.583565	0.4468271709	0.606463	0.5303392789
A_23_P10121	-0.602606	-0.8617679824	-1.3394	-0.3527060412	0.752617	-0.5485602905
A_23_P101237	0.197022	-0.08256356752	-0.00522575	-0.05249710879	-0.0633972	-0.0569248045
A_23_P101240	-0.14301	0.1266559395	-0.166439	0.1352335905	-0.155974	0.08430734437
A_23_P101246	-0.173394	-0.2405322206	-0.12178	0.005421233326	0.130782	0.1906703463
A_23_P101253	0.201483	0.1888672504	0.0380925	0.04333115653	0.0679926	0.1333776331
A_23_P101258	0.177449	0.1031637211	0.404277	-0.1623109379	0.0615595	-0.09230760283
A_23_P10127	-0.982848	-1.02098295	-1.47795	-0.3040547272	0.861008	-0.9452741936
A_23_P101272	0.00600844	0.01886719545	0.169767	0.1461381163	-0.157339	-0.04321846704
A_23_P101281	0.0481305	0.2450803357	0.171994	0.1052333767	-0.291568	0.03110911114
A_23_P101297	0.0996842	0.01329645294	0.341527	-0.09962129058	-0.402525	-0.3541116446
A_23_P101303	0.0254777	-0.2418154883	0.228041	0.1422716736	-0.0614842	-0.2546715149
A_23_P101308	0.210704	0.05146270121	0.156028	-0.02300169022	-0.235444	-0.2640527045
A_23_P101319	0.430472	-0.1214201506	0.151736	-0.30856745	0.0229139	-0.3510137206
A_23_P101321	-0.305445	-0.06517336364	0.222595	0.1882561079	-0.0319315	0.15309327
A_23_P101332	0.179641	-0.08415618656	0.451472	-0.2663824423	-0.236427	-0.302886722
A_23_P101342	0.0761114	-0.2727569457	0.218375	-0.08201010553	-0.0565492	-0.2703787984
A_23_P10135	0.164729	0.02271779819	0.00747296	-0.1447779932	-0.19327	-0.05365593943
